sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,built_year,has_individual_heating,has_central_heating
64.0,60.0,2,1.0,3,471,85000,HouseType 1: Pisos,1960.0,,
70.0,,3,1.0,4,666,129900,HouseType 1: Pisos,,,
94.0,54.0,2,2.0,1,722,144247,HouseType 1: Pisos,,True,False
64.0,,2,1.0,Bajo,583,109900,HouseType 1: Pisos,1955.0,,
108.0,90.0,2,2.0,4,1094,260000,HouseType 1: Pisos,2003.0,,
126.0,114.0,4,2.0,3,901,195000,HouseType 1: Pisos,1981.0,True,False
120.0,100.0,5,2.0,1,884,190000,HouseType 1: Pisos,,True,False
125.0,100.0,3,2.0,2,912,198500,HouseType 1: Pisos,,,
84.0,70.0,3,2.0,,954,212000,HouseType 1: Pisos,,,
85.0,,2,1.0,7,672,131400,HouseType 1: Pisos,1950.0,True,False
69.0,,2,2.0,2,617,118000,HouseType 1: Pisos,1963.0,,
122.0,98.0,3,2.0,6,1058,246900,HouseType 1: Pisos,,,
123.0,104.0,3,2.0,4,901,195000,HouseType 1: Pisos,1992.0,,
109.0,90.0,3,2.0,3,933,205000,HouseType 1: Pisos,1983.0,,
64.0,,3,1.0,3,408,72000,HouseType 1: Pisos,1960.0,True,False
115.0,,3,1.0,3,780,160000,HouseType 1: Pisos,,True,False
115.0,88.0,3,1.0,1,867,184900,HouseType 1: Pisos,,True,False
65.0,,3,1.0,4,494,90000,HouseType 1: Pisos,,,
75.0,,3,1.0,3,666,129900,HouseType 1: Pisos,,,
60.0,,2,1.0,Bajo,516,94900,HouseType 1: Pisos,,,
60.0,,2,1.0,2,493,89900,HouseType 1: Pisos,,,
95.0,,4,2.0,4,724,144900,HouseType 1: Pisos,,,
76.0,,3,1.0,2,583,110000,HouseType 1: Pisos,,,
51.0,,2,1.0,Semi-sótano,508,93000,HouseType 1: Pisos,,,
134.0,,3,2.0,2,666,130000,HouseType 1: Pisos,,,
62.0,,2,1.0,2,557,104000,HouseType 1: Pisos,,True,False
75.0,68.0,3,1.0,3,698,138000,HouseType 1: Pisos,1984.0,True,False
112.0,83.0,4,2.0,2,1148,280000,HouseType 1: Pisos,,True,False
65.0,63.0,3,1.0,1,744,150000,HouseType 1: Pisos,1976.0,True,False
70.0,63.0,2,1.0,3,728,145900,HouseType 1: Pisos,1968.0,True,False
75.0,,1,1.0,1,505,92500,HouseType 1: Pisos,2008.0,True,False
123.0,,3,2.0,7,1195,298000,HouseType 1: Pisos,2002.0,True,False
61.0,,3,1.0,2,539,99900,HouseType 1: Pisos,,True,False
72.0,66.0,2,1.0,3,698,138000,HouseType 1: Pisos,,True,False
61.0,56.0,3,1.0,5,539,100000,HouseType 1: Pisos,1966.0,True,False
71.0,,3,1.0,1,672,131400,HouseType 1: Pisos,1980.0,True,False
87.0,70.0,3,1.0,2,521,96000,HouseType 1: Pisos,,,
60.0,1.0,2,1.0,,758,154000,HouseType 1: Pisos,,,
78.0,63.0,4,1.0,2,731,146700,HouseType 1: Pisos,,,
52.0,41.0,1,1.0,1,505,92500,HouseType 1: Pisos,,True,False
125.0,,3,3.0,7,1135,275000,HouseType 4: Dúplex,2004.0,,
75.0,,0,1.0,1,465,83800,,2008.0,True,False
97.0,73.0,2,2.0,Bajo,1111,266122,HouseType 1: Pisos,,,
93.0,70.0,2,2.0,7,1004,228273,HouseType 1: Pisos,,,
103.0,,4,2.0,1,823,171900,HouseType 1: Pisos,,,
83.0,69.0,2,2.0,7,1004,228273,HouseType 5: Áticos,2020.0,True,False
45.0,41.0,2,1.0,1,471,85000,HouseType 1: Pisos,1968.0,True,False
120.0,,3,2.0,7,1195,298000,HouseType 1: Pisos,,True,False
74.0,,3,1.0,1,702,139000,HouseType 1: Pisos,,True,False
125.0,,3,2.0,7,1128,272500,HouseType 4: Dúplex,2004.0,True,False
126.0,105.0,4,2.0,Bajo,1135,275000,HouseType 1: Pisos,,True,False
158.0,,3,2.0,4,1172,289000,HouseType 5: Áticos,2003.0,True,False
65.0,52.0,2,1.0,,604,115000,HouseType 1: Pisos,,,
108.0,,3,2.0,4,847,179000,HouseType 1: Pisos,1978.0,,
62.0,48.0,2,1.0,Bajo,638,123000,HouseType 1: Pisos,1984.0,True,False
51.0,,2,1.0,3,492,89500,HouseType 1: Pisos,1967.0,,
112.0,80.0,3,2.0,3,1172,289000,HouseType 1: Pisos,2013.0,True,False
109.0,,3,2.0,2,968,216278,HouseType 1: Pisos,,True,False
107.0,,3,2.0,1,940,207503,HouseType 1: Pisos,,True,False
76.0,,2,2.0,3,790,162793,HouseType 1: Pisos,,True,False
105.0,,3,2.0,1,933,204999,HouseType 1: Pisos,,True,False
109.0,,3,2.0,4,982,220879,HouseType 1: Pisos,,True,False
108.0,,3,2.0,4,974,218258,HouseType 1: Pisos,,True,False
109.0,,3,2.0,Bajo,1014,231855,HouseType 1: Pisos,,True,False
76.0,,2,2.0,4,793,163397,HouseType 1: Pisos,,True,False
76.0,,2,2.0,2,783,160759,HouseType 1: Pisos,,True,False
108.0,,3,2.0,3,970,217169,HouseType 1: Pisos,,True,False
76.0,,2,2.0,5,799,165208,HouseType 1: Pisos,,True,False
109.0,,3,2.0,3,978,219775,HouseType 1: Pisos,,True,False
108.0,,3,2.0,Bajo,1011,230817,HouseType 1: Pisos,,True,False
108.0,,3,2.0,2,960,213722,HouseType 1: Pisos,,True,False
111.0,,2,2.0,6,1011,230749,HouseType 5: Áticos,,,
115.0,,3,2.0,2,1020,233789,HouseType 1: Pisos,,,
115.0,,3,2.0,1,1011,230789,HouseType 1: Pisos,,,
117.0,,3,2.0,1,1050,244171,HouseType 1: Pisos,,,
117.0,,3,2.0,1,1048,243468,HouseType 1: Pisos,,,
117.0,,3,2.0,1,1052,244798,HouseType 1: Pisos,,,
118.0,,3,2.0,1,977,219235,HouseType 1: Pisos,,,
115.0,,3,2.0,5,1046,242789,HouseType 1: Pisos,,,
97.0,91.0,4,1.0,3,666,130000,HouseType 1: Pisos,1970.0,,
106.0,81.0,3,2.0,3,1071,251569,HouseType 1: Pisos,,,
103.0,79.0,3,2.0,3,1025,235402,HouseType 1: Pisos,,,
103.0,79.0,3,2.0,1,1024,235172,HouseType 1: Pisos,,,
103.0,79.0,3,2.0,5,1027,236227,HouseType 1: Pisos,,,
114.0,85.0,3,2.0,2,1080,254710,HouseType 1: Pisos,,,
150.0,,2,1.0,,777,159000,HouseType 2: Casa o chalet,1993.0,True,False
140.0,,3,3.0,7,1128,272500,HouseType 4: Dúplex,2004.0,True,False
58.0,,3,1.0,2,471,85000,HouseType 1: Pisos,1951.0,,
65.0,,3,1.0,1,512,94000,HouseType 1: Pisos,,True,False
110.0,,4,2.0,1,833,175000,HouseType 1: Pisos,1978.0,True,False
173.0,107.0,4,2.0,2,1116,268000,HouseType 1: Pisos,2003.0,True,False
75.0,,2,1.0,3,766,156000,HouseType 5: Áticos,,True,False
90.0,,1,1.0,7,861,183159,HouseType 5: Áticos,,,
125.0,87.0,3,2.0,1,948,210000,HouseType 1: Pisos,1996.0,True,False
58.0,,2,1.0,Bajo,471,85000,HouseType 1: Pisos,1968.0,,
92.0,,3,1.0,6,780,159900,HouseType 1: Pisos,1962.0,True,False
70.0,,2,1.0,3,613,117000,HouseType 1: Pisos,1975.0,True,False
54.0,50.0,2,1.0,2,583,110000,HouseType 1: Pisos,1960.0,True,False
52.0,,2,1.0,1,539,100000,HouseType 1: Pisos,,,
108.0,,3,1.0,2,705,140000,HouseType 1: Pisos,1995.0,True,False
65.0,52.0,2,1.0,3,568,106500,HouseType 1: Pisos,1963.0,True,False
102.0,81.0,3,2.0,3,656,127500,HouseType 1: Pisos,1964.0,True,False
80.0,,2,1.0,3,736,148000,HouseType 1: Pisos,1999.0,True,False
108.0,,2,1.0,4,933,205000,HouseType 4: Dúplex,2002.0,True,False
80.0,,3,2.0,4,979,220000,HouseType 1: Pisos,2000.0,True,False
16.0,,3,1.0,1,600,114000,HouseType 1: Pisos,1970.0,True,False
54.0,50.0,2,1.0,3,493,89900,HouseType 1: Pisos,1964.0,,
70.0,,2,2.0,4,948,210000,HouseType 1: Pisos,2003.0,True,False
99.0,,2,2.0,Entreplanta exterior,725,145000,HouseType 1: Pisos,2007.0,True,False
123.0,,4,2.0,3,1135,275000,HouseType 1: Pisos,,,
64.0,,3,1.0,5,557,104000,HouseType 1: Pisos,,True,False
107.0,,3,2.0,6,1005,228629,HouseType 1: Pisos,,True,False
76.0,,2,2.0,6,813,169021,HouseType 1: Pisos,,True,False
109.0,,3,2.0,5,988,223022,HouseType 1: Pisos,,True,False
108.0,,3,2.0,5,979,220072,HouseType 1: Pisos,,True,False
103.0,79.0,3,2.0,6,1026,235718,HouseType 1: Pisos,,,
103.0,,3,2.0,1,1052,245000,HouseType 1: Pisos,,,
143.0,,3,2.0,Bajo,1094,260000,HouseType 1: Pisos,,,
99.0,,3,2.0,6,1024,235000,HouseType 1: Pisos,,,
100.0,,3,2.0,3,1024,235000,HouseType 1: Pisos,,,
176.0,,2,2.0,6,1108,265000,HouseType 1: Pisos,,,
87.0,,2,2.0,2,884,190000,HouseType 1: Pisos,,,
